PO no.,PI no.,Order Date,Receiving CKD Date,Finishing Date,Shipping Date,LEAD TIME TO FINISH,LEAD TIME TO SHIP,LEAD TIME FROM CKD,Generator Serial no.,Canopy Size,"Freq
50? 60?",Voltage,Genset Size,"Engine
Type",Engine Model,Engine Serial no.,Alternator Type,Alternator Model,Alternator S/No.,Controller Model,Controller S/No.
P03872,9776,22/09/2025,9/25/2025,9/27/2025,9/27/2025,5,5,3,25390022,180-200,50,230/400,(200 / 220) kVA,PERKINS,1106A-70TAG4,PR83546R045194K,AQT,A06I639168,0213021/220,DSE 4520 MKII,10952721
P03777,9178,11/09/2025,9/25/2025,9/27/2025,9/30/2025,16,19,3,25390023,180-200,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PR83526R046440L,AQT,A06I63545,0213503/169,DSE 4520 MKII,10952830
P03861,1449,22/09/2025,9/26/2025,9/27/2025,10/09/2025,5,17,2,25390024,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U639322L,AQT,A06I639171,0212240/075,DSE 4520 MKII,10952833
P03777,9178,11/09/2025,9/26/2025,9/27/2025,9/30/2025,16,19,2,25390025,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175U758477L,AQT,A09C167921,0259705/126,DSE 4520 MKII,10952863
P03757,9021,09/09/2025,9/26/2025,9/29/2025,9/30/2025,20,21,4,25400001,500 SS,50,230/400,(455 / 500) kVA,CUMMINS,QSZ13G5,93921864,STAMFORD,HCI544D1,N25G297388,DSE 8610 MKII,10802981
P03757,9021,09/09/2025,9/26/2025,9/29/2025,9/30/2025,20,21,4,25400002,500 SS,50,230/400,(455 / 500) kVA,CUMMINS,QSZ13G5,93921861,STAMFORD,HCI544D1,N25G297615,DSE 8610 MKII,10802987
P03845,8022,18/09/2025,9/29/2025,9/30/2025,9/30/2025,12,12,2,25400003,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U094755K,LEROY SOMER,TAL044H,40518300010,DSE 4520 MKII,10952854
P03908,9817,25/09/2025,9/29/2025,9/30/2025,9/30/2025,5,5,2,25400004,300,60,220/380,(313 / 344) kVA,CUMMINS,6LTAA9.5G1,93485656,BRUSHLESS AC SYNCHRO. ALTERNATOR,LYG314DC,2523044,DSE 7320 MKII,10897775
P03845,8022,18/09/2025,9/29/2025,9/30/2025,9/30/2025,12,12,2,25400005,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175U758431L,LEROY SOMER,TAL044D,46084300012,DSE 4520 MKII,10952902
P03876,9765,23/09/2025,9/29/2025,9/30/2025,9/30/2025,7,7,2,25400006,45-60,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,93444173,LEROY SOMER,TAL042H,46154800038,DSE 4520 MKII,10952905
P03876,9765,23/09/2025,9/29/2025,9/30/2025,9/30/2025,7,7,2,25400007,45-60,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,93444182,LEROY SOMER,TAL042H,46154800039,DSE 4520 MKII,10952649
P03774,6866,11/09/2025,9/29/2025,10/01/2025,,20,,3,25400008,80-100,50,230/400,(80 / 88) kVA,PERKINS,1104C-44TAG2,RS51277U756435L,AQT,A06I643633,0213355/088,DSE 4520 MKII,10952732
P03712,9292,06/09/2025,09/12/2025,9/19/2025,,13,,8,25400009,80-100,50,230/400,(60 / 66) kVA,CUMMINS,4BTA3.9G2,72074728,AQT,A06I639503,0212004/066,DSE 4520 MKII,10952859
P03706,9053,04/09/2025,9/30/2025,10/02/2025,10/02/2025,28,28,3,25400010,750-800,60,220/380,(826 / 909) kVA,PERKINS,2806A-E18TTAG5,JGEF8099N02541L,STAMFORD,S6L1D-C41,N25H3291.16,DSE 6120 MKIII,10854160
P03706,9053,04/09/2025,9/30/2025,10/02/2025,10/02/2025,28,28,3,25400011,750-800,60,220/380,(826 / 909) kVA,PERKINS,2806A-E18TTAG5,JGEF8099N02543L,STAMFORD,S6L1D-C41,N25E201945,DSE 6120 MKIII,10851722
P03757,9021,09/09/2025,10/01/2025,10/03/2025,10/03/2025,24,24,3,25400012,250 SS,50,230/400,(320 / 350) kVA,CUMMINS,6LTAA9.5G1,93472999,LEROY SOMER,TAL046F,46142300009,DSE 8610 MKII,10902659
P03757,9021,09/09/2025,10/01/2025,10/03/2025,10/03/2025,24,24,3,25400013,250 SS,50,230/400,(320 / 350) kVA,CUMMINS,6LTAA9.5G1,93485664,LEROY SOMER,TAL046F,46142400001,DSE 8610 MKII,10802982
P03706,9053,04/09/2025,10/01/2025,10/03/2025,10/03/2025,29,29,3,25400014,750-800,60,220/380,(826 / 909) kVA,PERKINS,2806A-E18TTAG5,JGEF8099N02536L,STAMFORD,S6L1D-C41,N25H329401,DSE 6120 MKIII,10854162
P03706,9053,04/09/2025,10/01/2025,10/03/2025,10/03/2025,29,29,3,25400015,750-800,60,220/380,(826 / 909) kVA,PERKINS,2806A-E18TTAG5,JGEF8099N02527L,STAMFORD,S6L1D-C41,N25H329127,DSE 6120 MKIII,10854165
P03757,9021,09/09/2025,10/02/2025,10/06/2025,10/07/2025,27,28,5,25410001,250 SS,50,230/400,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93478023,LEROY SOMER,TAL046D,46142100009,DSE 8610 MKII,10802996
P03757,9021,09/09/2025,10/02/2025,10/06/2025,10/07/2025,27,28,5,25410002,250 SS,50,230/400,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93473555,LEROY SOMER,TAL046D,46142100001,DSE 8610 MKII,10802986
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380059,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ8810,Linz,ALUMEN MD,E1C13102760,DSE 4520 MKII,10953042
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380060,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9682,Linz,ALUMEN MD,E1C13102759,DSE 4520 MKII,10953064
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380061,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9674,Linz,ALUMEN MD,E1C13102758,DSE 4520 MKII,10953049
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380062,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ8809,Linz,ALUMEN MD,E1C13102762,DSE 4520 MKII,10953062
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380063,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9673,Linz,ALUMEN MD,E1C13102779,DSE 4520 MKII,10953020
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380064,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9675,Linz,ALUMEN MD,E1C13102761,DSE 4520 MKII,10953040
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380065,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9671,Linz,ALUMEN MD,E1C13102791,DSE 4520 MKII,10953039
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380066,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9680,Linz,ALUMEN MD,E1C13102766,DSE 4520 MKII,10953065
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380067,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9683,Linz,ALUMEN MD,E1C13102763,DSE 4520 MKII,10953030
P03619,8918,28/08/2025,9/19/2025,9/19/2025,9/19/2025,22,22,1,R25380068,Tower Light,60,230 V,(5 / 6) kva,KUBOTA,Z482,4RJ9685,Linz,ALUMEN MD,E1C13102778,DSE 4520 MKII,10953029
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410003,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9841,CHINA,LK164B,25151036,DSE 4520 MKII,10952677
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410004,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RQ5135,CHINA,LK164B,25151028,DSE 4520 MKII,10816833
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410005,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9842,CHINA,LK164B,25151050,DSE 4520 MKII,10952696
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410006,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9843,CHINA,LK164B,25151049,DSE 4520 MKII,10765849
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410007,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9844,CHINA,LK164B,25151075,DSE 4520 MKII,10922562
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410008,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RZ1124,CHINA,LK164B,25151061,DSE 4520 MKII,10816839
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410009,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RZ1123,CHINA,LK164B,25151037,DSE 4520 MKII,10953124
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410010,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9877,CHINA,LK164B,25151055,DSE 4520 MKII,10765846
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410011,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RQ5138,CHINA,LK164B,25151057,DSE 4520 MKII,10778516
P03973,10022,01/10/2025,10/09/2025,10/09/2025,10/09/2025,8,8,1,R25410012,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9876,LEROY SOMER, TAL040C,45053700048,DSE 4520 MKII,10816708
P03875,9790,22/09/2025,10/09/2025,10/09/2025,10/09/2025,17,17,1,R25410013,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RR2269,CHINA,LK164B,25051056,DSE 4520 MKII,10922558
STOCK,,09/10/2025,10/09/2025,10/09/2025,10/09/2025,0,0,1,R25410014,Tower Light,,,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RZ1122,CHINA,LK164B,25051054,DSE 4520 MKII,10816844
P03973,10022,01/10/2025,10/09/2025,10/09/2025,10/09/2025,8,8,1,R25410015,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9875,LEROY SOMER, TAL040C,45053700046,DSE 4520 MKII,10817055
P03973,10022,01/10/2025,10/09/2025,10/09/2025,10/09/2025,8,8,1,R25410016,Tower Light,60,230 V,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RY9878,LEROY SOMER, TAL040C,45053700047,DSE 4520 MKII,10816842
STOCK,,09/10/2025,10/09/2025,10/09/2025,10/09/2025,0,0,1,R25410022,Tower Light,,,(10.7 / 12.1) kVA,KUBOTA,D1105-E2-BG,1RZ1121,CHINA,LK164B,25051073,DSE 4520 MKII,10952687
SAMPLE,,09/10/2025,10/09/2025,10/09/2025,10/09/2025,0,0,1,R25410021,Tower Light,60,230 V,(13 / 15) kVA,KUBOTA,V1505-E2-BG,1RJ8803,BRUSHLESS AC SYNCHRO. ALTERNATOR, S 164G108B3,18110010.8KS009,DSE 4520 MKII,
P03909,9818,06/10/2025,10/06/2025,10/08/2025,10/09/2025,2,3,3,25410017,300,60,220/380,(313 / 344) kVA,CUMMINS,6LTAA9.5G1,93482218,BRUSHLESS AC SYNCHRO. ALTERNATOR,LYG314DC,2523042,DSE 7320 MKII,10897482
P03910,9819,06/10/2025,10/06/2025,10/08/2025,10/09/2025,2,3,3,25410018,300,60,220/380,(313 / 344) kVA,CUMMINS,6LTAA9.5G1,93485663,BRUSHLESS AC SYNCHRO. ALTERNATOR,LYG314DC,2523044,DSE 7320 MKII,10897478
P03881,9514,23/09/2025,10/06/2025,10/08/2025,10/17/2025,15,24,3,25410019,750-800,50,230/400,(650 / 715) kVA,CUMMINS,QSK19G4,41385894,STAMFORD,HCI534E1,N25F254656,DSE 6120 MKIII,10938578
P03906,9838,03/10/2025,10/02/2025,10/04/2025,10/09/2025,1,6,3,25410020,30-60 OPEN,50,230/415,(30 / 33) kVA,PERKINS,1103A-33TG1,DJ83400S086788L,LEROY SOMER,TAL042C,46149100040,DSE 4520 MKII,10952701
P03914,9059,08/10/2025,10/08/2025,10/09/2025,10/09/2025,1,1,2,25410023,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U094842K,LEROY SOMER,TAL044H,40518300003,DSE 4520 MKII,10952694
P03915,9903,08/10/2025,10/08/2025,10/09/2025,10/09/2025,1,1,2,25410024,80-100,60,220/380,(114.4 / 126.5) kVA,PERKINS,1104C-44TAG2,RJ51175R062159L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S274G80B1,25060080KS046,DSE 4520 MKII,10891802
P04032,9948,08/10/2025,10/08/2025,10/09/2025,10/09/2025,1,1,2,25410025,80-100,60,230/400,(114.4 / 126.5) kVA,PERKINS,1104C-44TAG2,RJ51175R062161L,LEROY SOMER,TAL044D,46084300019,DSE 6120 MKIII,10938595
P03953,8258,29/09/2025,10/08/2025,10/13/2025,10/14/2025,14,15,6,25410026,30,50,230/400,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624K015100,BRUSHLESS AC SYNCHRO. ALTERNATOR,S184G18D7,25060018KS014,DSE 4520 MKII,10952690
P03981,10050,08/10/2025,10/08/2025,10/09/2025,10/09/2025,1,1,2,25410027,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U639380L,AQT,A06I639171,0212238/075,DSE 4520 MKII,10952683
P03894,9845,24/09/2025,10/08/2025,10/10/2025,10/10/2025,16,16,3,25410028,300,50,230/400,(250 / 275) kVA,PERKINS,1206A-E70TTAG3,BP84126U009490K,LEROY SOMER,TAL046D,46142000006,DSE 6120 MKIII,10938560
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410029,45-60,50,230/415,(45 / 50) kVA,KUBOTA,V3800-DI-T-E2B,KSJ1376,LEROY SOMER,TAL042H,46154800013,DSE 6120 MKIII,10938582
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410030,45-60,50,230/415,(45 / 50) kVA,KUBOTA,V3800-DI-T-E2B,KSJ1332,LEROY SOMER,TAL042H,46154800041,DSE 6120 MKIII,10938586
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410031,20,50,230/415,(20 / 22) kVA,KUBOTA,V2203-E2-BG,7SJ8599,LEROY SOMER,TAL040F,45682800053,DSE 6120 MKIII,10938570
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410032,20,50,230/415,(20 / 22) kVA,KUBOTA,V2203-E2-BG,7SJ8501,LEROY SOMER,TAL040F,45682800050,DSE 6120 MKIII,10938568
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410033,30,50,230/415,(30 / 33) kVA,KUBOTA,V3300-E2-BG,2NU0719,LEROY SOMER,TAL042C,46149100041,DSE 6120 MKIII,10938590
P03913,9772,25/09/2025,10/09/2025,10/11/2025,10/11/2025,16,16,3,25410034,30,50,230/415,(30 / 33) kVA,KUBOTA,V3300-E2-BG,2NU0033,LEROY SOMER,TAL042C,46149100042,DSE 6120 MKIII,10938575
P03953,8258,29/09/2025,10/08/2025,10/13/2025,10/14/2025,14,15,6,25410035,30,50,230/400,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624K015100,BRUSHLESS AC SYNCHRO. ALTERNATOR,S184G18D7,25060018KS014,DSE 4520 MKII,10952690
P03951,09908 R1,29/09/2025,10/08/2025,10/11/2025,10/13/2025,12,14,4,25410036,135-150,50,230/400,(100 / 110) kVA,CUMMINS,6BTA5.9-G2,93486016,AQT,A08C369593,0523860/110,DSE 4520 MKII,10891847
P03913,9772,25/09/2025,10/10/2025,10/11/2025,10/11/2025,16,16,2,25410037,80-100,50,230/415,(60 / 66) kVA,CUMMINS,4BTA3.9G2,72088044,LEROY SOMER,TAL042H,46154800010,DSE 6120 MKIII,10851458
P03913,9772,25/09/2025,10/10/2025,10/11/2025,10/11/2025,16,16,2,25410038,80-100,50,230/415,(60 / 66) kVA,CUMMINS,4BTA3.9G2,72088182,LEROY SOMER,TAL042H,46154800012,DSE 6120 MKIII,10851507
P03913,9772,25/09/2025,10/10/2025,10/11/2025,10/11/2025,16,16,2,25410039,135-150,50,230/415,(100 / 110) kVA,CUMMINS,6BTA5.9-G2,93486028,LEROY SOMER,TAL044D,46084400013,DSE 6120 MKIII,10854161
P04037,9953,07/10/2025,10/10/2025,10/14/2025,10/14/2025,7,7,5,25420001,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U640930L,LEROY SOMER,TAL042H,40148800011,DSE 4520 MKII,10953119
4U Power-2,9219,04/09/2025,10/10/2025,10/14/2025,10/14/2025,40,40,5,25420002,30,60,220/380,(30 / 33) kVA,BAUDOUIN,4M06G4D0/S,5624J011943,AQT,A06I639408,0212308/035,DSE 4520 MKII,10952693
4U Power-1,9219,04/09/2025,10/10/2025,10/14/2025,10/14/2025,40,40,5,25420003,30,60,220/380,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624K015099,AQT,A06I630039,02120341/025,DSE 4520 MKII,10817045
4U Power-1,9219,04/09/2025,10/10/2025,10/14/2025,10/14/2025,40,40,5,25420004,30,60,220/380,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624J012761,AQT,A06I630039,02120340/025,DSE 4520 MKII,10817050
4U Power-2,9219,04/09/2025,10/10/2025,10/14/2025,10/14/2025,40,40,5,25420005,30,60,220/380,(30 / 33) kVA,BAUDOUIN,4M06G4D0/S,5624J013054,AQT,A06I639408,0212309/035,DSE 4520 MKII,10816674
P03993,9952,02/10/2025,10/10/2025,10/14/2025,10/14/2025,12,12,5,25420006,20,60,230 V,(11.2 / 12.4) kVA,KUBOTA,D1105-E2-BG,1RR2436,BRUSHLESS AC SYNCHRO. ALTERNATOR,S164G88B2,250608.8KS003,DSE 4520 MKII,10816705
P03993,9952,02/10/2025,10/10/2025,10/14/2025,10/14/2025,12,12,5,25420007,20,60,230 V,(11.2 / 12.4) kVA,KUBOTA,D1105-E2-BG,1RQ4880,BRUSHLESS AC SYNCHRO. ALTERNATOR,S164G88B2,250608.8KS011,DSE 4520 MKII,10953129
P03993,9952,02/10/2025,10/10/2025,10/14/2025,10/14/2025,12,12,5,25420008,20,60,230 V,(11.2 / 12.4) kVA,KUBOTA,D1105-E2-BG,1RQ5137,BRUSHLESS AC SYNCHRO. ALTERNATOR,S164G88B2,250608.8KS008,DSE 4520 MKII,10816709
P03992,8916,02/10/2025,10/10/2025,10/14/2025,10/14/2025,12,12,5,25420009,350-500 OPEN,60,220/380,(569 / 625) kVA,CUMMINS,QSZ13G3,93921637,BRUSHLESS AC SYNCHRO. ALTERNATOR,FPA35-4042,K25065513,DSE 7320 MKII,10897477
P03919,07135 R2,26/09/2025,10/13/2025,10/14/2025,10/14/2025,18,18,2,25420010,300,60,220/380,(245 / 269) kVA,PERKINS,1506A-E88TAG1,LGDF1012N21467L,LEROY SOMER,TAL046D,464325004,DSE 6120 MKIII,10938558
P03867,9716,22/09/2025,10/13/2025,10/17/2025,10/17/2025,25,25,5,25420011,80-100,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,72088080,STAMFORD,S1L2-Y1,G25E207637,DSE 4520 MKII,10817049
P03867,9716,22/09/2025,10/13/2025,10/17/2025,10/17/2025,25,25,5,25420012,80-100,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,72088163,STAMFORD,S1L2-Y1,G25E207633,DSE 4520 MKII,10953123
P03813,9552,15/09/2025,10/13/2025,10/15/2025,10/17/2025,30,32,3,25420013,80-100,50,220/380,(72 / 80) kVA,CUMMINS,4BTA3.9G11,93506307,LEROY SOMER,TAL044B,46141700036,DSE 6120 MKIII,10851453
P03813,9552,15/09/2025,10/13/2025,10/15/2025,10/17/2025,30,32,3,25420014,80-100,50,220/380,(72 / 80) kVA,CUMMINS,4BTA3.9G11,93508688,LEROY SOMER,TAL044B,46141700035,DSE 6120 MKIII,10938326
P03878,9798,23/09/2025,10/13/2025,10/15/2025,10/17/2025,22,22,3,25420015,80-100,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,72074265,LEROY SOMER,TAL042H,46154800011,DSE 4520 MKII,10952684
P03879,9780,23/09/2025,10/15/2025,10/17/2025,10/17/2025,24,24,3,25420016,80-100,60,220/380,(90 / 100) kVA,CUMMINS,4BTA3.9G11,93506311,BRUSHLESS AC SYNCHRO. ALTERNATOR,NS224G64D8,23020064KS048,DSE 4520 MKII,10816702
P03879,9780,23/09/2025,10/15/2025,10/17/2025,10/17/2025,24,24,3,25420017,80-100,60,220/380,(90 / 100) kVA,CUMMINS,4BTA3.9G11,93496825,BRUSHLESS AC SYNCHRO. ALTERNATOR,NS224G64D8,23020064KS041,DSE 4520 MKII,10952832
P03939,9929,29/09/2025,10/15/2025,10/17/2025,10/17/2025,18,18,3,25420018,135-150,60,230/400,(152 / 169) kVA,CUMMINS,6BTAA5.9G2,84587870,LEROY SOMER,TAL044H,45255100005,DSE 6120 MKIII,10851705
P03939,9929,29/09/2025,10/15/2025,10/17/2025,10/17/2025,18,18,3,25420019,135-150,60,230/400,(152 / 169) kVA,CUMMINS,6BTAA5.9G2,84588262,LEROY SOMER,TAL044H,45255100004,DSE 6120 MKIII,10938574
P03987,8062,02/10/2025,10/16/2025,10/17/2025,10/17/2025,15,15,2,25420020,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277R061485L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G64D8,25060064KS015,DSE 4520 MKII,10953152
P03877,9375,23/09/2025,10/16/2025,10/17/2025,10/17/2025,24,24,2,25420021,150 SS,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U084203H,LEROY SOMER,TAL044H,40150500006,DSE 4520 MKII,10952702
P04040,10179 R1,07/10/2025,10/17/2025,10/19/2025,11/06/2025,12,30,3,25420022,45-60,50,230/400,(45 / 50) kVA,PERKINS,1103A-33TG1,DK83398S086865L,LEROY SOMER,TAL042F,46154700052,DSE 4520 MKII,10952715
P04040,10179 R1,07/10/2025,10/17/2025,10/19/2025,11/06/2025,12,30,3,25420023,30,50,230/400,(30 / 33) kVA,PERKINS,1103A-33G,DJ83401S095257L,LEROY SOMER,TAL042C,46149100056,DSE 4520 MKII,10891871
P04040,10179 R1,07/10/2025,10/17/2025,10/19/2025,11/06/2025,12,30,3,25420024,45-60,50,230/400,(60 / 66) kVA,PERKINS,1103A-33TG2,DK83403S092888L,LEROY SOMER,TAL042H,45477400007,DSE 4520 MKII,10953121
P04040,10179 R1,07/10/2025,10/17/2025,10/19/2025,11/06/2025,12,30,3,25420025,45-60,50,230/400,(60 / 66) kVA,PERKINS,1103A-33TG2,DK83403S092889L,LEROY SOMER,TAL042H,46043700002,DSE 4520 MKII,10952705
P04040,10179 R1,07/10/2025,10/17/2025,10/19/2025,11/06/2025,12,30,3,25420026,80-100,50,230/400,(90 / 100) kVA,PERKINS,1104C-44TAG2,RJ51175R062160L,LEROY SOMER,TAL044D,46310300003,DSE 4520 MKII,10952704
P03985,9811,02/10/2025,10/16/2025,10/21/2025,10/21/2025,19,19,6,25420027,45-60 SS HIGH TANK,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK83403S092887L,LEROY SOMER,TAL042H,46238800014,DSE 4520 MKII,10953122
P03985,9811,02/10/2025,10/16/2025,10/21/2025,10/21/2025,19,19,6,25420028,45-60 SS HIGH TANK,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK83403S092886L,LEROY SOMER,TAL042H,46238800015,DSE 4520 MKII,10952713
P03985,9811,02/10/2025,10/16/2025,10/21/2025,10/21/2025,19,19,6,25420029,45-60 SS HIGH TANK,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK83403S093278L,LEROY SOMER,TAL042H,46238800014,DSE 4520 MKII,10953140
P03985,9811,02/10/2025,10/16/2025,10/21/2025,10/21/2025,19,19,6,25420030,45-60 SS HIGH TANK,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK83403S093277L,LEROY SOMER,TAL042H,46043700002,DSE 4520 MKII,10953131
P04044,10207,08/10/2025,10/16/2025,10/21/2025,10/21/2025,13,13,6,25430001,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175U761941L,LEROY SOMER,TAL044D,46084300015,DSE 4520 MKII,10953132
P04044,10207,08/10/2025,10/16/2025,10/21/2025,10/21/2025,13,13,6,25430002,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175U762028L,LEROY SOMER,TAL044D,46084300016,DSE 4520 MKII,10891904
P04044,10207,08/10/2025,10/16/2025,10/21/2025,10/21/2025,13,13,6,25430003,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U639816L,LEROY SOMER,TAL042H,46238800013,DSE 4520 MKII,10816898
P04044,10207,08/10/2025,10/16/2025,10/21/2025,10/21/2025,13,13,6,25430004,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U094832K,LEROY SOMER,TAL044H,40518300011,DSE 4520 MKII,10816696
P04044,10207,08/10/2025,10/16/2025,10/21/2025,10/21/2025,13,13,6,25430005,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U097578L,LEROY SOMER,TAL044H,40518300012,DSE 4520 MKII,10816666
P04118,9014,16/10/2025,10/20/2025,10/21/2025,10/21/2025,5,5,2,R25430006,80-100,60,400,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175U759833L,AQT,A09C167921,0259732/127,DSE 4520 MKII,10723559
P04118,9014,16/10/2025,10/20/2025,10/21/2025,10/21/2025,5,5,2,R25430007,45-60,60,400,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637719L,AQT,A06I639410,0259032/059,DSE 4520 MKII,10830527
P04118,9014,16/10/2025,10/20/2025,10/21/2025,10/21/2025,5,5,2,25430008,80-100,60,400,(114 / 125) kVA,PERKINS,1104C-44TAG2,RJ51175R062157L,AQT,A09C167921,0259733/127,DSE 4520 MKII,11032551
P04016,10098,06/10/2025,10/20/2025,10/22/2025,10/23/2025,16,17,3,25430009,350-500 OPEN,60,220/380,(450 / 500) kVA,CUMMINS,QSZ13G7,93924035,LEROY SOMER,TALA473A,824563010,DSE 6120 MKIII,10854056
P04019,09453 R2,06/10/2025,10/20/2025,10/22/2025,10/23/2025,16,17,3,25430010,250 SS,60,220/380,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93484128,LEROY SOMER,TAL046D,46141900006,DSE 8610 MKII,10930740
